C97288501,Byrne,John,0,3,3,0,2,4,0,1,4,5,0,3,3,1,2,4,2,0,4,5
C06623662,Doyle,Mary,1,4,3,3,2,2,1,1,4,5,3,3,3,5,2,4,2,5,4,5
D11123581,Hanley,Nora,1,0,2,2,3,0,0,1,5,4,3,3,0,3,2,4,0,5,4,4
c9999,jones,john,1,2,3,4,5,4,3,4,4,1,1,2,3,4,5,5,3,3,3,1
D12345678,kelly,dave,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
C02887223,Radecki,Jason,2,4,3,0,2,2,4,1,0,2,3,3,5,0,4,4,0,4,0,5
D11255403,Smith,Eileen,1,3,2,0,4,3,1,4,5,0,3,3,1,3,4,5,0,5,4,0
C123866k,Farrell,Tony,1,4,3,3,2,2,1,1,4,5,3,3,3,5,2,4,2,5,4,5
P0987654,Butler,William,1,0,0,0,3,2,1,1,4,5,3,0,0,5,2,4,2,5,4,1
D987234,Morrison,James,0,2,3,3,1,2,0,0,4,5,1,2,0,1,2,4,0,5,4,4
